-----------------------------------------------------
-----------------------------------------------------
Test files:
data_array20000.csv
data_array520000.csv
data_array1020000.csv
data_array1520000.csv
data_array2020000.csv
data_array2520000.csv
data_array3020000.csv
data_array3520000.csv
data_array4020000.csv
data_array4520000.csv
data_array5020000.csv
data_array5520000.csv
data_array6020000.csv
data_array6520000.csv
data_array7020000.csv
data_array7520000.csv
data_array8020000.csv
data_array8520000.csv
data_array9020000.csv
data_array9520000.csv

NOTES: Testing quick sort algorithm of various array sizes (total of 20 intervals between 20,000 and 10,000,000)
with a range between 2 and 300 recursions, increased by two, as well as getting the amount of time it takes
for each array to run. Also getting the average of three runs to filter out any non-significant differences in the run time.
-----------------------------------------------------

*************** Quick sorting array size: 20000 ***************

Number of Recursions: 182  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 8 ms : 727500 ns = (average) 8727500 ns
Number of Recursions: 184  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 11100 ns = (average) 7011100 ns
Number of Recursions: 186  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 635233 ns = (average) 6635233 ns
Number of Recursions: 188  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 666766 ns = (average) 7666766 ns
Number of Recursions: 190  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 116333 ns = (average) 7116333 ns
Number of Recursions: 192  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 9833 ns = (average) 7009833 ns
Number of Recursions: 194  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 6 ms : 902133 ns = (average) 6902133 ns
Number of Recursions: 196  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 630966 ns = (average) 7630966 ns
Number of Recursions: 198  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 175233 ns = (average) 7175233 ns
Number of Recursions: 200  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 7 ms : 888500 ns = (average) 7888500 ns
Number of Recursions: 202  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 681100 ns = (average) 9681100 ns
Number of Recursions: 204  |  Elapsed Time: 0 hrs : 0 mins : 0 sec : 9 ms : 46166 ns = (average) 9046166 ns
